Time,Name/Nickname,Gender,Age,Maximum rating in Dota,Current Dota rating,Number of Hours ingame (atleast approximate),How many games do you play per week on average?,My mood worsens if I don't play Dota 2 for a long time,I spend almost all my free time on Dota 2,I often play more than I need to because I can't stop (register a new game),"When I play Dota, I'm completely focused on it (I don't play ""for fun"")",Every week/month I spend more time in Dota than before,"I often regist the next game despite discomfort (I can play hungry, sleepy, not feeling well, etc.)",I don't tell family/friends about the number of hours I spend in Dota,Dota lets me forget about stress and life problems irl,"Due to the number of hours spent in the game, I study / work / perform other tasks worse",Every game in DotA I play to win.,"I often play DotA pho fan - I'm interested in the process of the game itself (I try different builds, new heroes, bundles, etc.)","If my teammates frankly ruin the game, I can ruin them in response",I can pour out of the game / get into the amulet if something goes wrong,I have a specific goal - to upgrade the birds (for example: get 6k mmr or a medal of the lord / devine / titan),I play dota to win,"In DotA, too much depends not on me and my game","If I lose, then this is most often due to the bad game of teammates","If I had a strong team in every game, I would almost never lose",My possible pts is much bigger than my actual one,I have been sitting on the same rating for a long time without any visible progress,I often lose my desire to play when my teammates play badly,"MMR is just a number, it does not show the player's real skill","Write down the three heroes that you have played the most games on, the number and win rate on these heroes (for example: Pudge, 152 games, 56%):"
2021/11/08 4:27:38 PM GMT+3,zinek,?,20,~700,??????5,1200,11-20 ??? (????? ?????? ???? ?? ????????? ???),1,4,5,3,3,1,4,4,5,5,4,1,1,1,4,1,2,3,4,5,1,4,"????- 50 ???, 60,5%
????- 26 ???, 61,5%
????- 24 ????, 38% "
2021/11/08 4:27:41 PM GMT+3,????,?,14,400,100,750,6-10 ??? (???? ???? ? ?????? ?????????-????),3,2,2,1,4,2,1,4,2,3,5,3,2,3,3,2,2,2,4,2,3,3,"????????????, 53 ????, 49% ; ??????, 30 ????, 56% ; ?????, 80 ???, 60%."
2021/11/08 4:27:42 PM GMT+3,???????/????,?,17,??????? 2,??????? 1,5500,11-20 ??? (????? ?????? ???? ?? ????????? ???),1,2,1,4,1,1,4,1,1,4,3,2,2,3,4,3,4,3,4,4,5,5,"Kunkka, 170 ???, 62,35%; Pudge, 107 ???, 52,34%; Lion, 100 ???, 61%."
2021/11/08 4:28:06 PM GMT+3,???????,?,23,4500,4000,4300,1-5 ??? (?? ???????? ????? ???? ?????),1,1,1,1,1,1,1,4,1,3,5,1,1,1,3,3,4,3,2,3,2,4,"Techies 288 ???, 57%
Windranger 276 ???, 49%
Doom 132 ????, 63%"
2021/11/08 4:28:15 PM GMT+3,Zitraks mode,?,17,4300,3860,6842,20-30 ??? (?????? ???? ?? ????????? ???),4,3,5,5,1,5,5,5,3,5,1,5,2,5,5,1,5,5,5,5,5,1,?? 222 ???? 48.2%  ??????????? 210 ??? 58.1%  ?????? ???????? 191 58.1%
2021/11/08 4:28:17 PM GMT+3,????????,?,18,3300,3100,3300,1-5 ??? (?? ???????? ????? ???? ?????),1,1,1,3,1,3,5,3,3,1,3,5,3,2,3,5,3,2,2,5,3,3,"??????-600/64%
????????-150/69%
???????-300/52%"
2021/11/08 4:28:29 PM GMT+3,SHAWTY KNOW I KILL PEOPLE,?,20,3500,2000,6?,?????? 30 ??? (?? ????? ???????? ?????? ????),3,4,5,4,5,3,5,5,5,4,2,2,1,4,4,3,3,3,3,4,5,4,"Antimag 122 57.38%
Slark  108 62.96%
Pudge 103 42%
"
2021/11/08 4:28:33 PM GMT+3,Margar,?,14,650,520,530,11-20 ??? (????? ?????? ???? ?? ????????? ???),1,4,3,4,5,4,5,3,1,5,2,2,3,5,5,3,2,5,3,2,4,3,"?????? ?????, 34 ????, 47%"
2021/11/08 4:28:43 PM GMT+3,Kenshik,?,14,1860,??????????,1300,20-30 ??? (?????? ???? ?? ????????? ???),4,2,1,3,1,5,1,5,2,3,2,3,2,4,3,2,1,4,4,1,5,3,??????? 78 ??? 57% ?????? 45 ??? 69%  ???????? 70 ??? 43%
2021/11/08 4:28:46 PM GMT+3,??????,?,26,5620,5550,7000,20-30 ??? (?????? ???? ?? ????????? ???),5,4,3,4,2,4,5,5,4,5,1,1,1,5,5,3,2,2,1,2,1,1,"???? 392 ????, 57%
?? 287 ????, 61% ?? ??????, 250 ??? 49% ?? ?????.
????? 187 ???, 57% "
2021/11/08 4:28:53 PM GMT+3,?????? ??????,?,21,2500 ? 13 ???,1100,~3000,11-20 ??? (????? ?????? ???? ?? ????????? ???),1,3,2,4,1,2,5,2,5,5,1,5,5,3,4,1,5,5,5,1,5,1,"???? ?????? 44 ????, 66% , ???? ?????? 41 ????, 49%, ??????? 27 ??? 56%"
2021/11/08 4:29:05 PM GMT+3,????,?,20,2000 ? ???-??(????? 1),?????? 1(1600 ???-??),"~1000 + 377 + 114 (??? ????????) (???? ??? ????????, ?? ???????? ??? ? ??? ???? ?????)",6-10 ??? (???? ???? ? ?????? ?????????-????),1,2,5,4,4,5,5,5,5,4,3,1,1,5,5,3,2,1,3,3,1,2,"?????????(36, 52.78%), ?????? ??????? (16 ??? ?? ????? ???? 37.50% ? 10 ??? ?? ?????? 70%) ????????? (16 , 43.75%)
https://steamcommunity.com/profiles/76561198412121243/
https://steamcommunity.com/profiles/76561198274041733
https://steamcommunity.com/id/pinkesice/ (?????? (??? ??? ?????(??? 10 ???? ?? ?????) (?? ?? ????? 5? ???? ????) ???? ?????????? ??? ???, ??????? ?????????? ?????)) (????????? ??? ???? ????? ???)
????????? ?? ???? ????? ????? ????????? - @t0ksik "
2021/11/08 4:29:11 PM GMT+3,?????????,?,23,500,100,700,11-20 ??? (????? ?????? ???? ?? ????????? ???),1,1,1,3,3,2,1,3,1,5,1,1,1,3,4,2,2,5,3,5,2,2,"Void Spirit, 18, 55.6%/ Shadow Shaman, 12, 58.%/ PA, 8, 62.5% (???????? ?????????? ??? ? ?????????? ???, ??? ??? ????? ?????)"
2021/11/08 4:29:13 PM GMT+3,Mass Mayhem,?,19,1340,1340,900,11-20 ??? (????? ?????? ???? ?? ????????? ???),1,2,2,4,1,2,1,2,3,4,1,1,1,2,5,4,3,2,4,5,2,2,Jakiro 48 63%; Lion 41 44%; ?????? 26 77%
2021/11/08 4:29:26 PM GMT+3,kubs,?,16,2300,1890-2000,5000,6-10 ??? (???? ???? ? ?????? ?????????-????),3,2,2,4,2,2,2,5,1,4,4,1,1,4,4,2,2,3,5,4,2,5,"??????,53 ????, 53%/????,26 ????, 62%/ ???????, 88 ????, 40%"
2021/11/08 4:29:30 PM GMT+3,?? ??? ??? ?????????,?,25,2?,400,5200?,"?????? 50 ??? (???? ???? ??? ILTW, ?????????? ?????? ???? ???-????)",2,4,5,5,3,5,1,5,4,4,3,5,1,5,5,3,3,3,5,5,3,5,??? ??????? ? ?????
2021/11/08 4:29:35 PM GMT+3,Wagamara,?,20,3300,3300,3650,1-5 ??? (?? ???????? ????? ???? ?????),1,1,1,3,1,1,5,3,2,4,3,1,1,2,5,2,2,4,3,5,3,3,"????,155 ???, 58,7%: ?????? ???????, 76 ???, 56,6%; ???????, 76 ???, 67,1%"
2021/11/08 4:29:37 PM GMT+3,GOP,?,21,2800,2300,3000,1-5 ??? (?? ???????? ????? ???? ?????),1,1,3,4,2,1,3,5,2,5,3,2,1,4,5,3,3,5,5,5,5,2,Pudge WR Invoker
2021/11/08 4:29:45 PM GMT+3,maxtroo,?,21,4450,3850,5000,"?????? 50 ??? (???? ???? ??? ILTW, ?????????? ?????? ???? ???-????)",1,5,3,5,1,1,1,1,1,5,1,1,1,5,5,3,5,5,2,5,1,5,"?????? 500+ ?? ?????? ????????? 67% ????????, ????? 300+ 60% ????????, ?? 250+ 55% ????????"
2021/11/08 4:29:56 PM GMT+3,????????,?,19,150,150,1500,11-20 ??? (????? ?????? ???? ?? ????????? ???),5,3,3,4,2,5,5,5,2,5,1,1,1,5,5,3,2,2,5,5,5,1,"??, ??????, ??"
2021/11/08 4:30:06 PM GMT+3,Igor,?,14,880,880,980,20-30 ??? (?????? ???? ?? ????????? ???),2,2,2,3,2,1,3,2,1,4,2,3,2,2,4,1,3,5,5,1,3,4,"????, 61 ????, 59% ; ?????? 59 ???, 55.9% ; ??????? 55 ???, 58.2%"
2021/11/08 4:30:07 PM GMT+3,???? ?????,?,20,1600,1540,2200,11-20 ??? (????? ?????? ???? ?? ????????? ???),2,4,1,4,1,1,1,1,3,4,2,5,1,5,5,1,2,4,3,5,1,2,"????? 230 ???- 66,4%, ???? 78 ??? 40%(?????? ???? ? ???? ?? ??? ????? ?? ????????? ????????), ???? 64, 62.5%"
2021/11/08 4:30:10 PM GMT+3,Mlem................,?,18,3000,2880,1456,6-10 ??? (???? ???? ? ?????? ?????????-????),2,3,4,5,3,4,2,4,3,4,2,1,1,3,4,2,2,1,1,3,3,4,"Ogre Magi, 164 ????, 52%; Witch Doctor, 161 ????, 51%; Lich, 143 ????, 52%"
2021/11/08 4:30:14 PM GMT+3,Monumental,?,20,210,50,1020,11-20 ??? (????? ?????? ???? ?? ????????? ???),2,1,2,3,1,1,1,3,4,5,2,1,2,5,5,1,3,4,2,5,5,1,"Chen
?????
(140).<50.00% >
Warlock 
(68),<41.18% >   
(Lone Druid 45)
<42.22% >  "
2021/11/08 4:30:27 PM GMT+3,Assembler OFP,?,20,2450,2320,2890,11-20 ??? (????? ?????? ???? ?? ????????? ???),3,3,4,4,2,5,5,4,5,5,2,1,1,4,5,3,4,4,3,1,3,2,"???????? 146 ??? 55%, ?????? ?????? 98 ??? 62% ???? 84 61%"
2021/11/08 4:30:50 PM GMT+3,???,?,16,1100,300,8000,20-30 ??? (?????? ???? ?? ????????? ???),4,5,4,3,3,5,5,5,2,4,2,3,1,3,1,4,5,1,5,5,3,5,"????????, 200 ???, 65%
??????? ?????, 50 ???, 78%
??? ??????????????? 60 ???, 48%
"
2021/11/08 4:30:52 PM GMT+3,AncientSloth,?,18,420,90,734,1-5 ??? (?? ???????? ????? ???? ?????),1,1,3,4,1,2,3,2,2,5,1,2,1,4,4,2,4,5,5,5,2,3,"Hoodwink, 71 ????, 46,5%. Enchantress, 40 ???, 57,5%. Slardar, 38 ???, 52,6%"
2021/11/08 4:30:54 PM GMT+3,??????,?,16,900,680,400,1-5 ??? (?? ???????? ????? ???? ?????),3,1,1,3,1,1,5,1,1,4,3,3,1,3,3,3,4,4,4,3,4,4,"(VoidS, 10, 65%) (huskar, 8, 60%) (QoP, 6, 70%)"
2021/11/08 4:31:01 PM GMT+3,???? ????????,?,228,3660,3660,2600,11-20 ??? (????? ?????? ???? ?? ????????? ???),2,1,1,4,2,1,1,5,1,4,3,1,1,5,4,2,4,4,5,1,1,2,"?????, 56 ???, 43%. ?????, 53 ????, 60%. ???????, 50 ???, 70%"
2021/11/08 4:31:06 PM GMT+3,denisik1901,?,16,1300,1200,557 ,11-20 ??? (????? ?????? ???? ?? ????????? ???),2,3,1,5,1,4,5,5,4,5,1,1,1,1,2,5,2,5,5,1,2,5,"Shadow Fiend

130
52.31
Pudge
45
40.00% )))))

Monkey King
39
69.23%
"
2021/11/08 4:31:07 PM GMT+3,??????,?,18,3010,2950,4000,20-30 ??? (?????? ???? ?? ????????? ???),1,3,4,4,2,2,3,4,2,4,2,4,3,5,4,2,3,5,4,2,3,4,"??, 501 ????, 59%. ?? 138 ????, 54%. ?????, 127 ???, 39%"
2021/11/08 4:31:15 PM GMT+3,?????? ,?,22,3100,1900,2000,1-5 ??? (?? ???????? ????? ???? ?????),1,1,1,2,1,3,2,5,3,1,5,3,2,1,1,2,2,2,1,5,1,5,"????, 20 ???, 80% 
????, 25 ???, 60%
???, 50 ???, 60%"
2021/11/08 4:31:18 PM GMT+3,?????? ???? ???????,?,17,5050,4530,3100,6-10 ??? (???? ???? ? ?????? ?????????-????),2,3,3,4,1,1,4,2,2,5,3,1,1,4,5,3,2,4,3,3,3,2,"?????, 381 ????, 60.10%
???????, 214 ???, 60.75%
????, 182 ????, 54.40%"
2021/11/08 4:31:20 PM GMT+3,k4tionnn,?,18,2020,900,"1,5?",6-10 ??? (???? ???? ? ?????? ?????????-????),3,4,3,4,3,3,5,3,3,4,2,1,1,5,4,3,2,4,2,4,4,3,"??????(52% 150 ???), ????(63% 50 ???), ????? (40% 70 ???)"
2021/11/08 4:31:39 PM GMT+3,?????,?,17,3400,400,2400,6-10 ??? (???? ???? ? ?????? ?????????-????),2,1,1,5,1,1,1,5,1,5,3,1,1,1,1,1,4,5,5,1,4,5,"????? - 214 ??? , 58%
???? - 134 ???, 52,2 % 
?????- 108 ???, 53%"
2021/11/08 4:31:42 PM GMT+3,"????, LolSkilL",?,16,2100,1900,3?,20-30 ??? (?????? ???? ?? ????????? ???),2,2,2,5,3,1,2,1,1,5,1,1,1,5,5,2,2,1,3,5,1,4,"?????? ??? 160 60%, ????? 70 ??? 43%, ????? 300+ ??? 50%"
2021/11/08 4:31:51 PM GMT+3,Bergen,?,42,1400,200,1200,6-10 ??? (???? ???? ? ?????? ?????????-????),1,1,2,1,2,2,3,2,2,2,3,2,1,2,4,3,2,4,3,3,4,2,"Undying 89 ??? 55%, crystal maiden 70??? 58%, Enigma67??? 46%"
2021/11/08 4:32:04 PM GMT+3,????9n,?,26,3300,2010,3000,6-10 ??? (???? ???? ? ?????? ?????????-????),4,2,4,4,3,4,5,3,5,4,2,1,1,4,5,2,3,4,4,4,4,1,"Crystal maiden, 144 ????, 49%"
2021/11/08 4:32:14 PM GMT+3,??????,?,17,800,?????????????? ,1000,11-20 ??? (????? ?????? ???? ?? ????????? ???),3,2,2,4,3,2,1,4,3,4,2,3,2,3,5,3,4,5,5,2,3,3,"(1-???, 119 ???, 61,34%; 2-??????, 32 ????, 50%; 3-??, 28 ???, 60,7%). "
2021/11/08 4:32:16 PM GMT+3,Tehnoman,?,22,2050,1900,1950,20-30 ??? (?????? ???? ?? ????????? ???),1,1,1,5,1,1,1,1,1,5,1,1,1,5,5,5,3,5,5,1,4,3,"???? 54.6% 108 ???
?? 50% 81 ????
?????? 53.5% 71 ????"
2021/11/08 4:32:25 PM GMT+3,mikhailsuper,?,15,500,350,200,11-20 ??? (????? ?????? ???? ?? ????????? ???),3,1,2,2,4,3,1,4,1,2,4,1,1,1,3,3,3,3,3,4,3,4,"???????? 40 ???, 40%. ?????? 35 ??? 52%. ???? 30 ??? 47%"
2021/11/08 4:32:27 PM GMT+3,Fhanax,?,13,1250+- (???? ????????),1250+- (???? ????????),500,11-20 ??? (????? ?????? ???? ?? ????????? ???),2,3,2,4,5,1,4,3,1,5,1,2,1,4,5,3,2,4,3,1,2,4,"Invoker - 13 ???; 23% winrate; 
Void Spirit - 11 ???; 72.5% winrate
Lina - 9 ???; 44.5% winrate

gl seregga, ?? ????? ????? ? ????, ?? ?????? ? ??????? ?? ??????"
2021/11/08 4:32:46 PM GMT+3,Mifferr,?,16,+- 1100,940,750,11-20 ??? (????? ?????? ???? ?? ????????? ???),3,3,2,4,4,1,3,3,2,4,1,1,1,4,4,5,2,2,4,2,4,4,"????, 110 ???, 63,6%. ????, 67 ???(??? ???, ???? 100 ????? ?????????) 68,7%. Ember spirit, 32 ????, 62,5%"
2021/11/08 4:32:47 PM GMT+3,SalmonWah,?,17,5200,4500,6500,11-20 ??? (????? ?????? ???? ?? ????????? ???),3,4,5,4,1,1,2,1,1,5,3,1,1,5,5,3,4,5,5,1,4,5,"MK, 175 ???, 57.14%; ?????????, 141 ????, 51.77%; ????????, 108 ???, 54.63%"
2021/11/08 4:32:52 PM GMT+3,Mr. Lololoshka,?,15,1300,1100,1800,1-5 ??? (?? ???????? ????? ???? ?????),3,1,1,4,2,2,1,3,3,4,2,1,1,5,4,5,1,2,2,5,3,1,"???? 102 ???? 47%, ???? 99 ??? 53%, ???? ??? 68 ??? 63% "
2021/11/08 4:32:53 PM GMT+3,Unburn,?,16,1500,970,1000,11-20 ??? (????? ?????? ???? ?? ????????? ???),1,1,4,3,1,2,2,4,4,4,4,4,3,3,4,4,2,5,4,3,5,4," ????,300 ???, 65%; ????,90 ???, 49%"
2021/11/08 4:33:05 PM GMT+3,???? ????,?,15,720,470,1500,20-30 ??? (?????? ???? ?? ????????? ???),3,4,2,4,3,1,1,3,2,5,1,1,2,5,5,5,5,5,1,5,4,2,????????? (336 ????.57%) .???? ?????? (249 ????.49%) ?????? ??????(30 ????.63%)
2021/11/08 4:33:10 PM GMT+3,"???? ??? ????????, ?? ????? ????",?,18,3600,2800,4000,6-10 ??? (???? ???? ? ?????? ?????????-????),3,3,2,5,3,5,5,5,4,5,2,2,2,5,5,3,1,5,5,3,1,1,??? ??????-109 ??? ? 55% ???????
2021/11/08 4:33:18 PM GMT+3,???????-????????,?,15,1300,900,2500,6-10 ??? (???? ???? ? ?????? ?????????-????),3,4,4,3,1,3,3,4,3,4,1,1,1,5,5,3,4,4,5,4,4,4,"??????? 170,57%,???? ~100 52%,????  60 48%"
2021/11/08 4:33:24 PM GMT+3,?? ????? ??? ?????? ?????,?,16,2320,2300,1500,11-20 ??? (????? ?????? ???? ?? ????????? ???),3,4,1,3,1,1,2,4,2,4,2,1,2,4,4,1,1,1,4,1,1,3,"???? 120 ??? 56%, ?????? 100 ??? 66%, ????? 60 ??? 59%."
2021/11/08 4:33:25 PM GMT+3,Cheshire,?,23,3300,3050,2000,11-20 ??? (????? ?????? ???? ?? ????????? ???),2,3,2,5,3,2,4,4,2,5,2,1,1,5,5,1,1,2,3,3,1,2,"??????? 154 ????, 56%; ??????? 170 ???, 49.9%; ?????? 120 ???, 56%"
2021/11/08 4:33:26 PM GMT+3,Outkast,?,34,1800,???,?????? 1000,6-10 ??? (???? ???? ? ?????? ?????????-????),1,1,1,4,1,1,2,3,5,5,5,1,3,1,5,3,3,3,3,5,1,1,"?????? 345,63% ?????? ?????? 182, 56%%,???? ???????? 128,38%"
2021/11/08 4:33:26 PM GMT+3,???????,?,20,2980,2480,6500,11-20 ??? (????? ?????? ???? ?? ????????? ???),1,3,4,3,2,4,1,4,4,4,2,3,1,4,5,1,3,3,4,5,5,4,"??, 215 ????, 54.9%
??????, 195 ???, 53.3%
??, 186 ????, 53.8%"
2021/11/08 4:33:26 PM GMT+3,sxlimxne (??????),?,18,??? ????? ,"??????? ?????? ??? ????, ??? 1500",~750,11-20 ??? (????? ?????? ???? ?? ????????? ???),3,3,4,4,3,3,5,4,3,4,2,3,1,1,3,3,2,3,2,5,4,3,"(Shadow Fiend - 53 ????, 43.40%) (Huskar - 43 ????, 53.49%) (Templar Assassin - 27 ???, 48.15%)"
2021/11/08 4:33:37 PM GMT+3,?????????????????????,?,13,1100???,940???,1150????? ,11-20 ??? (????? ?????? ???? ?? ????????? ???),3,3,5,4,3,4,3,4,2,4,2,4,1,5,5,2,2,4,3,4,2,1,"????, 42 ????,???????50%; ??????, 40 ???, ??????? 55%; ??????, 39 ???, ??????? 59% (??? ???????? ? ??? ??? ? ?? ??? ??? ?? ??????????? ? ????? ?? ??????? ??? ???????? ?????? ?? ????? ????????? ?????? ?????? ???? ? ?????? ??????, ?? ?????????? ?????? ????? ?? ???? ??? ?? ???? ???????????? ??????, ? ??????????? ??? ? ?? ???? ?????? ?????? ????? ????? ????? ??? ??????? ??? ????????? ???)"
2021/11/08 4:33:38 PM GMT+3,??????? ????????? ??????????? Dahaka501,?,29,1600,520,1700,6-10 ??? (???? ???? ? ?????? ?????????-????),3,3,4,5,2,1,1,1,3,5,1,2,1,1,5,1,2,1,2,5,3,1,"Viper 92 ????, 44%;  Disraptor 78 ???, 56%;   Lion 77 ???, 55%;    "
2021/11/08 4:33:44 PM GMT+3,hopefullyiwon'twakeupthistime,?,18,3100,3030,3500,?????? 30 ??? (?? ????? ???????? ?????? ????),2,3,5,4,1,5,1,5,5,4,1,5,5,5,5,3,2,5,3,1,5,2,"zxc, 426, 54%. ???????, 233, 50%. ?????? ??????, 101, 65."
2021/11/08 4:33:45 PM GMT+3,Sven Proletar,?,25,2800,1250,2000,1-5 ??? (?? ???????? ????? ???? ?????),3,2,1,1,1,1,5,4,1,3,5,1,1,1,3,3,1,1,3,3,3,3,"???? 200 ??? , 50%"
2021/11/08 4:33:48 PM GMT+3,??????,?,22,~3300,3200,????? 6?,?????? 30 ??? (?? ????? ???????? ?????? ????),2,4,4,4,2,3,3,5,5,4,2,4,2,2,3,2,2,3,3,3,3,2,Meepo|240|54.4% Grimstroke|147|57.82% Sniper|193|52.45%
2021/11/08 4:33:51 PM GMT+3,beegoode,?,18,1110,960,1000,6-10 ??? (???? ???? ? ?????? ?????????-????),4,3,2,5,1,5,1,5,2,4,2,2,1,2,4,3,3,3,2,5,1,4,"dark willow, 261 ????, 57 wr. io, 54 ????, 55 wr. meppo, 51 ????, 49 wr."
2021/11/08 4:33:58 PM GMT+3,RechentaY,?,21,3000,2300,5r,1-5 ??? (?? ???????? ????? ???? ?????),1,1,1,3,3,2,3,4,1,3,3,1,2,3,4,3,3,3,2,5,3,2,"Lion, 103 ????, 55.34%
????? 69 ???, 45%
???? 65 ????, 63%"
2021/11/08 4:34:09 PM GMT+3,?????,?,20,3000,2600,5500,11-20 ??? (????? ?????? ???? ?? ????????? ???),3,3,5,3,1,4,1,5,5,3,4,1,1,2,2,2,2,4,1,5,1,1,"???????, 667 ???, 52%
????, 291 ????, 54%
?????? ????????, 142 ????, 54%"
2021/11/08 4:34:12 PM GMT+3,Pahne Chabor,?,29,1200,940,"1260,7",1-5 ??? (?? ???????? ????? ???? ?????),3,1,3,2,1,4,3,4,4,2,4,1,1,1,3,2,2,1,3,5,1,3,"WD - 206 50.0%
Brist - 97 53.6%
OgreMagi - 86 48.8%"
2021/11/08 4:34:19 PM GMT+3,sir_alonne_,?,20,2500,2200,4200,20-30 ??? (?????? ???? ?? ????????? ???),1,3,1,4,2,5,5,5,2,5,1,1,1,4,5,5,3,5,3,5,1,5,"?????, 309 ???, 60%. ????,  210 ???, 48%, ??????, 196 ???, 55%"
2021/11/08 4:34:26 PM GMT+3,WHATUGONNADO,?,19,5000,4770,8500,11-20 ??? (????? ?????? ???? ?? ????????? ???),4,4,2,5,2,2,1,4,2,5,1,3,1,2,3,4,5,5,4,5,5,1,???????? ??? ??????????
2021/11/08 4:34:31 PM GMT+3,???? ????? ,?,??? 17 ???????,1200…,1100,??? ??? 1?,6-10 ??? (???? ???? ? ?????? ?????????-????),2,2,2,1,2,1,3,4,2,1,5,3,3,1,1,2,1,5,1,4,5,5,"???? ????? 50 ??? ????? 50 ???? ???????? 
??? ????? 30 ??? ???? 20 ??? ????? ????? ?????? 50
"
2021/11/08 4:34:43 PM GMT+3,LsNoSense,?,19,2500,2300,3000,11-20 ??? (????? ?????? ???? ?? ????????? ???),2,2,1,5,2,4,4,2,4,5,4,1,1,5,5,2,2,2,4,4,2,1,"Grimstroke 250 60%, enigma 80 60%, ??????? 55 49%"
2021/11/08 4:34:54 PM GMT+3,????,?,18,5200,5200,5100,6-10 ??? (???? ???? ? ?????? ?????????-????),2,1,1,3,1,4,3,4,3,4,2,1,1,1,1,1,1,1,2,1,3,4,"????? 200+ ???, 60 ????, ?? 270 ???, 61 ????, ???? 93 ????, 71 ????."
2021/11/08 4:34:54 PM GMT+3,Sterben,?,16,3500,3100,4850,6-10 ??? (???? ???? ? ?????? ?????????-????),4,2,3,1,1,1,1,5,5,5,5,1,1,1,5,5,3,5,3,4,1,5,"Shadow Fiend 321, Invoker 132, Anti-mage 131. "
2021/11/08 4:35:02 PM GMT+3,FOX,?,27,4300,3100,8000,11-20 ??? (????? ?????? ???? ?? ????????? ???),1,3,2,4,1,1,5,3,1,5,2,1,1,4,5,3,2,2,1,1,2,1,"Crystal Maiden
613
54.81%
Juggernaut
405
54.32%
Void Spirit
259
57.14%"
2021/11/08 4:35:18 PM GMT+3,?????,?,16,1280,1280,2000,6-10 ??? (???? ???? ? ?????? ?????????-????),3,4,4,2,1,5,1,4,5,3,3,5,2,5,4,3,2,2,4,5,5,1,"?????, 150 ???, 56%, ???????, 120 ??? 52%, ??????, 100 ???, 54%."
2021/11/08 4:35:21 PM GMT+3,King,?,19,3900,3300,3300,11-20 ??? (????? ?????? ???? ?? ????????? ???),1,2,2,3,1,1,5,4,1,3,3,2,1,3,3,2,3,3,2,2,2,2,"Tinker 644 65%
SF 200 54%
Kunkka 105 50%"
2021/11/08 4:35:27 PM GMT+3,????????? ?????,?,36,3500,3000,7000,20-30 ??? (?????? ???? ?? ????????? ???),3,3,3,3,2,2,2,4,4,4,2,2,1,3,4,3,3,4,3,4,4,3,?????? 1090 51% ????????? 520 53% ???? 434 55%
2021/11/08 4:35:35 PM GMT+3,???? Gaming,?,15,2000,1900,500,11-20 ??? (????? ?????? ???? ?? ????????? ???),3,4,4,5,3,5,3,2,3,5,2,1,1,5,5,2,2,4,3,3,2,1,"Dark willow, 350 ???, 62%. Rubick, 41 ????, 42%. Axe, 13 ???, 53%"
2021/11/08 4:35:47 PM GMT+3,niko,?,19,2400,1730,2666,11-20 ??? (????? ?????? ???? ?? ????????? ???),1,1,3,4,2,2,5,4,4,4,2,1,1,3,4,2,1,3,2,4,1,5,"Pudge, 230 ????, 55%. Monkey King, 99 ????, 72%.  Phantom Assassin 60 ????, 60%"
2021/11/08 4:36:02 PM GMT+3,????????,?,21,3600,2200 (????????),4700 ? ?????? ???? ?????????,20-30 ??? (?????? ???? ?? ????????? ???),2,4,5,4,3,2,4,5,5,2,3,5,5,1,5,4,2,5,1,5,5,1,"?????(353 ????, 62% ???????); ?????(242 ????, 53% ???????); ???????(97 ????, 47% ???????)"
2021/11/08 4:36:04 PM GMT+3,WaterSprite,?,27,3800,3300,????? 10 000,11-20 ??? (????? ?????? ???? ?? ????????? ???),3,4,3,4,3,4,1,2,2,5,3,2,1,3,5,2,3,5,4,3,3,3,"-????? ????, 85, 52%
-????? ????, 60, 55%
-??????????, 55, 60%"
2021/11/08 4:36:26 PM GMT+3,??????/Jleohid,?,21,1200,900,1280,6-10 ??? (???? ???? ? ?????? ?????????-????),2,1,2,3,1,1,1,4,4,3,5,1,1,3,4,4,2,4,4,3,4,5,"????, 48, 64,5%. ?????? 34, 52,9%. ???? 33, 57,6%. ????? 836 ???."
2021/11/08 4:36:40 PM GMT+3,Wer.wilx,?,21,1200,~1000,2500,1-5 ??? (?? ???????? ????? ???? ?????),2,1,2,2,1,1,1,3,1,3,5,2,1,2,2,5,1,3,2,5,1,5,"Ogre Magi, 101 ????, 58%
Bounty Hunter, 78 ???, 55%
Wraith King, 62 ????, 56%"
2021/11/08 4:36:42 PM GMT+3,??????/Reflection,?,21,2900-2970,2640,?????????????? 7200-7500,1-5 ??? (?? ???????? ????? ???? ?????),2,1,2,3,2,2,2,4,3,4,3,5,2,1,4,4,3,3,1,5,3,3,"???????, 242, 47%/// ??????, 166, 49%/// ????, 161, 58%"
2021/11/08 4:36:49 PM GMT+3,??????,?,20,2500,1100,2500,11-20 ??? (????? ?????? ???? ?? ????????? ???),3,2,4,5,4,4,5,4,2,5,2,3,1,4,5,3,3,4,5,3,4,4,"jugger, 127 ???; 55%; ???????, 85 ???, 54%; void, 77 ??? , 57%"
2021/11/08 4:36:53 PM GMT+3,Artem ,?,18,3100,2700,2000,1-5 ??? (?? ???????? ????? ???? ?????),1,1,2,1,1,1,5,2,1,3,5,5,5,1,2,2,3,3,2,3,1,2,"??, 150 ???, 71%  ????, 170 ???, 56% ?????? 77 ??? 44%"
2021/11/08 4:36:53 PM GMT+3,???? 5?,?,18,5000,4800,7000,1-5 ??? (?? ???????? ????? ???? ?????),1,2,1,3,2,1,1,3,4,5,3,2,3,3,3,5,4,5,4,1,3,5,"???????, 180 ???, 71%       ????????, 156 ???, 54%       ????, 140 ???, 52%"
